year,president,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1972,Nixon,0.015481398582426155,0.027817343236002306,0.019067724760063756,0.0371519652728321,0.03621087258792011,0.020542951131006883,0.016778580391358905,0.03643978702479059,0.0326754162851426,0.04071285651303965,0.029470614168955814,0.030767795977888562,0.035447824465018485,0.04099264082477024,0.04155220944823143,0.047910943805744906,0.04483331637670838,0.039466544578967006,0.03448129684267644,0.017897717638281276,0.04162851426052158,0.041094380574490455,0.025299284430426967,0.034328687218096114,0.020797300505307422,0.04745311493200394,0.03964458914097738,0.03491369077898735,0.037915013395733714,0.03122562485162953
1973,Nixon,0.009946588183998255,0.017958360584259866,0.009047307608458687,0.03251035535208197,0.008883802049269677,0.013625463265751037,0.013625463265751035,0.03251035535208197,0.020329191192500543,0.035289949858295186,0.02556136908654895,0.03602572487464574,0.04485502507085241,0.0618596032265097,0.04223893612382821,0.017876607804665358,0.037742533246130375,0.04027686941356006,0.011009374318726837,0.02376280793546981,0.03986810551558753,0.04191192500545018,0.020329191192500547,0.0420754305646392,0.013216699367778504,0.0538478308262481,0.03856006104207543,0.18759537824286027,0.01485175495966863,0.012807935469805971
1974,Nixon,0.014895117221928433,0.03363048021958651,0.008001561280249805,0.024470549721739572,0.030023167384351943,0.020995442068948152,0.011420009569137014,0.023167384351942787,0.0313641056634182,0.039976328976857795,0.016198282591725215,0.04139281307446299,0.030382010022411927,0.05808843897156959,0.051194883029890954,0.046473269371206966,0.06158243307899574,0.025509304726650046,0.03646344841479691,0.014687366220946338,0.03493364558938329,0.051024904938178336,0.03712447432701267,0.04352698244818816,0.02588703381934477,0.04432021354284707,0.046473269371206966,0.052441389035783534,0.023790637354889076,0.020561053612349226
1975,Ford,0.041563786008230456,0.009465020576131689,0.004279835390946502,0.022798353909465018,0.002551440329218107,0.03082304526748971,0.025020576131687244,0.023415637860082304,0.09477366255144032,0.03761316872427983,0.023415637860082304,0.0397119341563786,0.03662551440329218,0.038971193415637866,0.011440329218106995,0.06674897119341565,0.02860082304526749,0.029588477366255143,0.01440329218106996,0.03181069958847736,0.02242798353909465,0.025637860082304526,0.03341563786008231,0.11465020576131686,0.03650205761316873,0.034650205761316874,0.04674897119341564,0.026872427983539095,0.016008230452674896,0.029465020576131686
1976,Ford,0.03499864608719199,0.0344909287841863,0.01793934470620092,0.042512862171676144,0.028093690766314648,0.027585973463308964,0.04241131871107501,0.045051448686704576,0.054494990522610344,0.030226103438938532,0.046269970213918224,0.03743568914161928,0.028398321148118064,0.06424316274031952,0.02017330083942594,0.030530733820741944,0.034694015705388576,0.048300839425940975,0.049722447874356895,0.020477931221229352,0.024133495802870292,0.017837801245599784,0.03834958028702951,0.024945843487679396,0.01712699702139182,0.027687516923910103,0.024539669645274848,0.023524235039263472,0.0353032764689954,0.0284998646087192
1977,Ford,0.06729616306954436,0.03020083932853717,0.024917565947242207,0.0351468824940048,0.00895533573141487,0.046612709832134294,0.017273681055155875,0.033235911270983215,0.03053806954436451,0.021657673860911268,0.03537170263788969,0.049985011990407675,0.026154076738609113,0.046612709832134294,0.040654976019184656,0.04009292565947242,0.022669364508393283,0.03908123501199041,0.0014238609112709833,0.051109112709832136,0.03896882494004796,0.025816846522781777,0.01176558752997602,0.04717476019184652,0.04694994004796163,0.03761990407673861,0.023231414868105513,0.014126199040767385,0.02390587529976019,0.06145083932853716
1978,Carter,0.013635129368866131,0.044794212343380276,0.007409131463594398,0.01668994142519105,0.015788044532371308,0.01893013693316265,0.013053260405756623,0.02471973311610225,0.03333139377012297,0.027716358276116217,0.010987625586717873,0.03382598238876605,0.028938283098646184,0.02794910586136002,0.07734978082935723,0.04447418441367004,0.060155552969471275,0.021344893130067107,0.029200124132045462,0.04429962372473719,0.01567167073974941,0.05328949920477909,0.029287404476511892,0.0370844485821793,0.05902090849140774,0.03795725202684356,0.0600100857286939,0.04683075371426355,0.03877186857519687,0.027483610690872413
1979,Carter,0.008289296445964149,0.060939280903533316,0.006599057092529272,0.016332504403688736,0.016701637136048077,0.02218034400580251,0.005064242047456222,0.024900269402134495,0.023890011397782615,0.031408662314786034,0.013806859392809035,0.04071469277795047,0.027425914413014195,0.031136669775152837,0.08293182053673194,0.04024841985286499,0.06507745311366697,0.022743757123614136,0.044930577142265046,0.03541083825510309,0.02113122992436017,0.04083126100922184,0.027425914413014195,0.04512485752771733,0.054780592684695886,0.03107838565951715,0.05771422650502538,0.03925758988705834,0.03082582115842918,0.03109781369806238
1980,Carter,0.009654311939412977,0.03620912295396642,0.008790528042438836,0.016773985272048302,0.011761421142637769,0.023697344082644053,0.003777963913028304,0.012389627613164415,0.027872299584685723,0.036405437476006004,0.008227759745925383,0.03679806652008516,0.022663420933235614,0.03284560080968834,0.07128398422503752,0.03984748542909992,0.06447841412766551,0.017467629916588144,0.03059452762363452,0.05544794611384497,0.021629497783827174,0.04703259693574843,0.029377377586989144,0.0542307960771996,0.06891512232575997,0.03157610023383241,0.07289376330576205,0.032780162635675146,0.030031759327121064,0.044545946323247126
1981,Carter,0.00887186445788809,0.0364203463937732,0.012886112210474737,0.01732440021861631,0.013508037918621964,0.02415144833305064,0.0027232807523416445,0.011797742221217088,0.020151335255649157,0.031699364881928344,0.010822449633440756,0.037296696255253385,0.024886451442679182,0.036929194700439115,0.06911385009705812,0.04027911271932304,0.06323382522002978,0.014554003882324118,0.03783381391228963,0.04546653851227832,0.02008066187972334,0.05599687152522568,0.02991839580859765,0.05208156649893519,0.0838987203407399,0.04344527996079983,0.0407314223252483,0.041537098810802656,0.029211662049339438,0.04314845178191138
